GEM Mine ID,MSHA ID,Country / Area,Mine Name,Mine Name AKAs,Mine Name (Non-ENG),Owners,Owners (Non-ENG),Parent Company,Company HQs,Capacity (Mtpa),Production (Mtpa),Year of Production,Mine Type,Mining Method,"Mine Size
(Km2)","Mine Depth
(m)",Depth Accuracy,Workforce Size,Workforce Accuracy,Coal Type,Coal Grade,Opening Year,Closing Year,Reason for Closure,Mine Site Status,Coalfield,Location,"Prefecture, District","State, Province",Subregion,Region,Latitude,Longitude,Location Accuracy,"Primary Consumer, Destination","Primary Consumer, Destination Name","Primary Consumer, Destination GEM Wiki",Reported Coal Mine Methane Emissions (thousand tonnes CH4),Reported Coal Mine Methane Emissions (thousand tonnes CO2 equivalent),Year of Reported Coal Mine Methane Emissions,Reference Type,Source ID,Has mine boundary and methane emissions sources data,Has associated plume data,Has associated CMM mitigation data
M0608,,India,Piparwar Coal Mines,,,Central Coalfields Ltd,,Coal India,India,,"4,3",,Surface,Open Pit,"2,72",50,Estimate,401,Estimate,Lignite,Thermal,,2020,,,North Karanpura,,"Ranchi, Hazaribagh",Jharkhand,Southern Asia,Asia,"23,724268","85,037525",Exact,,,,,,,,,N,N,N
M5619,,India,Pipla Underground Coal Mine,,,Western Coalfields Ltd,,,,"0,25",,,Underground,Bord and Pillar,"1,9",300,Estimate,,,Subbituminous,,1971,,,Abandoned,,,Nagpur,Maharashtra,Southern Asia,Asia,"21,31458","79,08343",Approximate,,,,,,,,,N,N,N
M0615,,India,Rajappa Coal Mine,,,Coal India,,Coal India,India,,"1,4",,Surface,Open Pit,,50,Estimate,,,Subbituminous,Thermal,,,,,Ramgarh,,,Jharkhand,Southern Asia,Asia,"23,621","85,6878",Approximate,,,,,,,,,N,N,N
M1723,,India,Ramkrishnapur Coal Mine,,,Coal India,,Coal India,India,,"2,37",,Surface,Open Pit,,50,Estimate,,,Subbituminous,Thermal,2013,,,,Godavari,Doragari Pall,Mancherial,Telangana,Southern Asia,Asia,"18,9030556","79,46583333",Approximate,,,,,,,,,N,N,N
M2734,,India,Ravindrakhani 8 Coal Mine,,,The Singareni Collieries Co Ltd,,Government of Telengana [51%]; Government of India [49%],India,,"0,13",,Underground,,,300,Estimate,1321,Estimate,Subbituminous,Thermal,,,,,,,Mancherial,Telangana,Southern Asia,Asia,"18,8958","79,4917",Exact,,,,,,,,,N,N,N
M2672,,India,Salanpur Coal Mine,,,Bharat Coking Coal Ltd,,Coal India,India,"0,15","0,07",,Underground,Bord and Pillar,"1,77",300,Estimate,498,Estimate,Bituminous,Thermal,,2022,,,Jharia,,Dhanbad,Jharkhand,Southern Asia,Asia,"23,80822","86,297918",Exact,,,,,,,,,N,N,N
M5610,,Germany,Schöningen Coal Mine,,Bergwerk Schöningen,Helmstedter Revier GmbH,,,,,"1,5",2015,Surface,,6,50,Estimate,226,Exact,Lignite,Thermal,1979,2016,Reserve exhausted,Rehabilitation,,Schoningen,Helmstedt,Lower Saxony,Western Europe,Europe,"52,13334566","10,99808581",Exact,Coal Plant,Buschaus power plant,https://www.gem.wiki/Buschhaus_power_station,,,,,,N,N,N
M2686,,India,Shampur-B Coal Mine,,,Eastern Coalfields Ltd,,Coal India,India,,"0,04",,Underground & Surface,Mixed,"3,68",60,Estimate,493,Estimate,Subbituminous,Thermal,,,,,,,Dhanbad,Jharkhand,Southern Asia,Asia,"23,77338093","86,71801871",Approximate,,,,,,,,,N,N,N
M5609,,Germany,Prosper-Haniel Mine,,Bergwerk Prosper-Haniel,Rag Deutsche Steinkohle (RAG),,,,,"1,8",2018,Underground,,,1240,Exact,1400,Exact,Anthracite,Thermal,1856,2018,Government order,Renewable energy site,,Bottrop,Ruhr Valley,North Rhine-Westphalia,Western Europe,Europe,"51,5205535","6,9608874",Exact,,,,,,,,,N,N,N
M1736,,India,Shivani Coal Mine,,,Coal India,,Coal India,India,,,,Surface,Open Pit,,50,Estimate,,,Subbituminous,Thermal,,,,,Wardha Valley,,Yavatmal,Maharashtra,Southern Asia,Asia,"20,234722","78,906388",Approximate,,,,,,,,,N,N,N
M2765,,India,Shobhapur Coal Mine,,,Western Coalfields Ltd,,Coal India,India,,0,,Underground,,"4,61",300,Estimate,1293,Estimate,Subbituminous,Thermal,,2023,,,Pathekhera,shobapur,Betul,Madhya Pradesh,Southern Asia,Asia,"22,15","78,125",Exact,,,,,,,,,N,N,N
M2772,,India,Sudamdih Coal Mine,,,Bharat Coking Coal Ltd,,Coal India,India,,0,,Underground,,,300,Estimate,1532,Estimate,Bituminous,Met,,2013,,,Jharia,,Dhanbad,Jharkhand,Southern Asia,Asia,"23,667299","86,417111",Exact,,,,,,,,,N,N,N
M1744,,India,Talabira I Coal Mine,,,Adani Enterprises Ltd,,Adani Group,India,3,"0,27",,Surface,Open Pit,"1,7",50,Estimate,68,Estimate,Subbituminous,Thermal,,,,,,Talabira,Sundergarh,Odisha,Southern Asia,Asia,"21,734804","83,989432",Exact,,,,,,,,,N,N,N
M2870,,India,Tarmi Coal Mine,,,Central Coalfields Ltd,,Coal India,India,1,"0,46",,Surface,Open Pit,"2,587",50,Estimate,218,Estimate,Subbituminous,Thermal,2010,2021,,,East Bokaro,Termi,Bokaro,Jharkhand,Southern Asia,Asia,"23,7681","85,5542",Exact,,,,,,,,,N,N,N
M1748,,India,Telwasa Coal Mine,Telwasa OCP,,Western Coalfields Ltd,,Coal India,,2,,,Surface,Open Pit,"2,87",110,Exact,,,Subbituminous,,2005,2018,Reserve exhausted,,,Telwasa,"Tehsil Bhadrawati, Chandrapur District",Maharashtra,Southern Asia,Asia,"20,059444","79,077222",Approximate,,,,,,,,,N,N,N
M2587,,India,Tipong Colliery,,,North Eastern Coalfields Ltd,,Coal India,India,,0,,Underground & Surface,Mixed,,60,Estimate,,Estimate,Subbituminous,Thermal,1924,,,,Makum,Margherita,Tinsukia,Assam,Southern Asia,Asia,"27,293804","95,755447",Approximate,,,,,,,,,N,N,N
M2869,,India,Tirap Colliery,,,North Eastern Coalfields Ltd,,Coal India,India,,"0,45",,Surface,Open Pit,,50,Estimate,317,Estimate,Subbituminous,Thermal,1983,,,,Makum,Ledo,Tinsukia,Assam,Southern Asia,Asia,"27,293804","95,755447",Exact,,,,,,,,,N,N,N
M1752,,India,Venkatesh Khani No-7 Incline Coal Mine,,,The Singareni Collieries Co Ltd,,"Government of Telengana (51%), Government of India (49%)",India,"0,843",,,Underground,,,300,Estimate,,,Subbituminous,,1954,2021,Reserve exhausted,Other,,,,,Southern Asia,Asia,"17,4519444","80,66666667",Exact,,,,,,,,,N,N,N
M3911,,Indonesia,AAJ Coal Mine,Anjas Anita Jaya Coal Mine,,Anjas Anita Jaya,,Anjas Anita Jaya,Indonesia,,"0,21",2020,Surface,Open Pit,"15,79",50,Estimate,219,Estimate,Subbituminous,Thermal,2014,2024,,Unknown,,,Nunukan,North Kalimantan,South-eastern Asia,Asia,"4,126354","117,198499",Exact,,,,,,,,,N,N,N
M0653,,Indonesia,ABP Coal Mine,Alamjaya Bara Pratama Coal Mine,,PT Alamjaya Bara Pratama,,Alamjaya Bara Pratama [84%]; Others [16%],Indonesia,"3,5","3,74",2021,Surface,Open Pit,"29,12",50,Estimate,648,Estimate,Subbituminous,Thermal,2015,2023,,Unknown,,,Kutai Kartanegara,East Kalimantan,South-eastern Asia,Asia,"-0,595281","116,975981",Exact,Terminal (Export),Muara Berau Anchorage,https://www.gem.wiki/Muara_Berau_Anchorage,,,,,,N,N,N
M3913,,Indonesia,Aero Mandiri Coal Mine,,,Aero Mandiri,,Aero Mandiri,Indonesia,,"0,45",2020,Surface,Open Pit,"0,5",50,Estimate,232,Estimate,Subbituminous,Thermal,2016,2025,,Unknown,,,Banjar,South Kalimantan,South-eastern Asia,Asia,"-3,227468","115,013763",Exact,Export / Domestic,,,,,,,,N,N,N
M3914,,Indonesia,AJI Coal Mine,Alam Jaya Indah Coal Mine,,CV Alam Jaya Indah,,Alam Jaya Indah,Indonesia,,"0,42",2023,Surface,Open Pit,"1,48",50,Estimate,230,Estimate,Subbituminous,Thermal,2015,2025,,Unknown,,,Kutai Kartanegara,East Kalimantan,South-eastern Asia,Asia,"-0,755623","117,055735",Exact,,,,,,,,,N,N,N
M3916,,Indonesia,Akbar 2 Coal Mine,,,CV Akbar,,Aims Indo Investama,Indonesia,,"0,08",2020,Surface,Open Pit,"0,59",50,Estimate,208,Estimate,Subbituminous,Thermal,2013,2023,,Unknown,,,Banjar,South Kalimantan,South-eastern Asia,Asia,"-3,215461","115,02073",Exact,Export / Domestic,,,,,,,,N,N,N
M3917,,Indonesia,Akbar Coal Mine,,,CV Akbar,,Aims Indo Investama,Indonesia,,"0,19",2020,Surface,Open Pit,"7,06",50,Estimate,211,Estimate,Subbituminous,Thermal,2014,2023,,Unknown,,,Banjar,South Kalimantan,South-eastern Asia,Asia,"-3,316952","114,936559",Exact,Export / Domestic,,,,,,,,N,N,N
M4469,,Indonesia,Andrea Multi Energy Coal Mine,,,PT Andrea Multi Energy,,SLS Group,Indonesia,,"0,8",2023,Surface,Open Pit,"47,52",50,Estimate,226,Estimate,Subbituminous,Thermal,2022,2025,,Unknown,,Kecamatan Manor Bulatn,West Kutai,East Kalimantan,South-eastern Asia,Asia,"-0,0095717","115,9195307",Approximate,,,,,,,,,N,N,N
M6718,,Indonesia,Anugerah Bara Hampang Mine,,,PT Anugerah Bara Hampang,,PT Anugerah Bara Hampang,Korea,,,,Surface,Open Pit,"12,68",50,Estimate,179,Estimate,Subbituminous,Thermal,2008,2025,,Unknown,,"Cantung Village, Hampang District",Kotabaru,South Kalimantan,South-eastern Asia,Asia,"-2,923225957","115,7243824",Approximate,,,,,,,,,N,N,N
M3927,,Indonesia,ARG Coal Mine,Anugerah Rizkie Gunung Coal Mine,,Anugerah Rizkie Gunung,,Anugerah Rizkie Gunung,Indonesia,,"0,17",2020,Surface,Open Pit,1,50,Estimate,212,Estimate,Subbituminous,Thermal,2011,2020,,Unknown,,,Banjar,South Kalimantan,South-eastern Asia,Asia,"-3,206961","115,006916",Exact,,,,,,,,,N,N,N
M3929,,Indonesia,ARJ Coal Mine,Alfa Riung Jaya Coal Mine,,Alfa Riung Jaya,,Alfa Riung Jaya,Indonesia,3,"0,03",2020,Surface,Open Pit,"4,8372",50,Estimate,669,Estimate,Subbituminous,Thermal,2013,2023,,Unknown,,,Tanah Laut,South Kalimantan,South-eastern Asia,Asia,"-3,912362","114,942233",Exact,Export / Domestic,,,,,,,,N,N,N
M3935,,Indonesia,BAM Coal Mine,Borneo Anugerah Mandiri Coal Mine,,Borneo Anugerah Mandiri,,Borneo Anugerah Mandiri,Indonesia,"0,07","0,04",2020,Surface,Open Pit,1,50,Estimate,208,Estimate,Subbituminous,Thermal,2020,2025,,Unknown,,,Tanah Laut,South Kalimantan,South-eastern Asia,Asia,"-3,809208","115,339369",Exact,,,,,,,,,N,N,N
M3948,,Indonesia,Banjar Bumi Persada Coal Mine,,,Banjar Bumi Persada,,PT Prima Mining Sukses,Indonesia,,"0,53",2020,Surface,Open Pit,"11,32",50,Estimate,232,Estimate,Subbituminous,Thermal,2020,2025,,Unknown,,,Banjar,South Kalimantan,South-eastern Asia,Asia,"-3,270789","114,961076",Exact,Export / Domestic,,,,,,,,N,N,N
M3940,,Indonesia,Baratama Coal Mine,,,Baratama,,Baratama,Indonesia,,"0,12",2020,Surface,Open Pit,"1,95",50,Estimate,210,Estimate,Subbituminous,Thermal,2010,2021,,Unknown,,,Banjar,South Kalimantan,South-eastern Asia,Asia,"-3,241396","115,119423",Exact,,,,,,,,,N,N,N
M3944,,Indonesia,BBAP Coal Mine,Bara Batu Ampar Prima Coal Mine,,Bara Batu Ampar Prima,,Bara Batu Ampar Prima,Indonesia,,"0,18",2020,Surface,Open Pit,4,50,Estimate,264,Estimate,Subbituminous,Thermal,2010,2025,,Unknown,,,Indragiri Hilir,Riau,South-eastern Asia,Asia,"-0,994167","102,715682",Exact,Export / Domestic,,,,,,,,N,N,N
M3946,,Indonesia,BBK Coal Mine,Bara Bumi Kartanegara Coal Mine,,Bara Bumi Kartanegara,,Bara Bumi Kartanegara,Indonesia,"2,4","0,34",2020,Surface,Open Pit,"30,31",50,Estimate,227,Estimate,Subbituminous,Thermal,2010,2020,,Unknown,,,Kutai Kartanegara,East Kalimantan,South-eastern Asia,Asia,"-0,916549","117,180524",Exact,,,,,,,,,N,N,N
M3954,,Indonesia,Bebatu Coal Mine,Pipit Mutiara Jaya Coal Mine,,Pipit Mutiara Jaya,,Pipit Mutiara Jaya,Indonesia,,"1,22",2020,Surface,Open Pit,30,50,Estimate,244,Estimate,Subbituminous,Thermal,2011,2025,,Unknown,,"Bebatu Village, Bandan Biqis, and Sengkong, Sesayap Hilir District",Tana Tidung,North Kalimantan,South-eastern Asia,Asia,"3,525628","117,290867",Exact,,,,,,,,,N,N,N
M3959,,Indonesia,Bengkulu Bio Energi Coal Mine,,,Bengkulu Bio Energi,,Bengkulu Bio Energi,Indonesia,20,0,2020,Surface,Open Pit,"9,87",50,Estimate,554,Estimate,Subbituminous,Thermal,2014,2025,,Unknown,,,North Bengkulu,Bengkulu,South-eastern Asia,Asia,"-3,75237","102,48424",Exact,,,,,,,,,N,N,N
M1507,,Indonesia,BIM Coal Mine,PT Banjar Intan Mandiri Coal Mine,,PT Banjar Intan Mandiri,,Banjar Regency,Indonesia,,"0,02",2021,Surface,Open Pit,"66,25",50,Estimate,,Estimate,Subbituminous,Thermal,2012,,,Unknown,,Banjarbaru,Banjar,South Kalimantan,South-eastern Asia,Asia,"-2,033411","116,400445",Exact,,,,,,,,,N,N,N
M3965,,Indonesia,BIP Coal Mine,Barito Inti Perdana Coal Mine,,Barito Inti Perdana,,Barito Inti Perdana,Indonesia,,"0,04",2020,Surface,Open Pit,"1,96",50,Estimate,208,Estimate,Subbituminous,Thermal,2014,2025,,Unknown,,,Tanah Laut,South Kalimantan,South-eastern Asia,Asia,"-3,868744","115,040656",Exact,Export / Domestic,,,,,,,,N,N,N
M3972,,Indonesia,BMQ Coal Mine,Bara Mega Quantum Coal Mine,,Bara Mega Quantum,,Bara Mega Quantum,Indonesia,,"0,09",2020,Surface,Open Pit,"19,98",50,Estimate,245,Estimate,Subbituminous,Thermal,2013,2020,,Unknown,,,Bengkulu,Central Bengkulu,South-eastern Asia,Asia,"-3,844925","102,343351",Approximate,,,,,,,,,N,N,N
M3984,,Indonesia,BRA Coal Mine,Buana Rizky Armia Coal Mine,,Buana Rizky Armia,,Buana Rizky Armia,Indonesia,,"1,49",2022,Surface,Open Pit,"9,48",50,Estimate,210,Estimate,Subbituminous,Thermal,2015,2022,,Unknown,,,Samarinda,East Kalimantan,South-eastern Asia,Asia,"-0,671211","117,179303",Exact,,,,,,,,,N,N,N
M3990,,Indonesia,BTP Coal Mine,Banua Tuntung Pandang Coal Mine,,Banua Tuntung Pandang,,Banua Tuntung Pandang,Indonesia,,"0,07",2020,Surface,Open Pit,1,50,Estimate,208,Estimate,Subbituminous,Thermal,2011,2019,,Unknown,,,Tanah Laut,South Kalimantan,South-eastern Asia,Asia,"-3,782402","115,044831",Exact,,,,,,,,,N,N,N
M3994,,Indonesia,Buana Karsatama Coal Mine,,,Buana Karsatama,,Buana Karsatama,Indonesia,,"0,02",2020,Surface,Open Pit,"0,76",50,Estimate,209,Estimate,Subbituminous,Thermal,2011,2021,,Unknown,,,Tanah Bumbu,South Kalimantan,South-eastern Asia,Asia,"-2,892199","115,494198",Approximate,,,,,,,,,N,N,N
M4004,,Indonesia,CBP Coal Mine,Cahaya Bumi Perdana Coal Mine,,Cahaya Bumi Perdana,,Cahaya Bumi Perdana,Indonesia,,"0,05",2020,Surface,Open Pit,"1,031",50,Estimate,240,Estimate,Subbituminous,Thermal,2017,2023,,Unknown,,,Sawahlunto,West Sumatra,South-eastern Asia,Asia,"-0,587849","100,800376",Exact,,,,,,,,,N,N,N
M4007,,Indonesia,CES Coal Mine,Cereno Energi Selaras Coal Mine,,Cereno Energi Selaras,,Cereno Energi Selaras,Indonesia,,"0,31",2020,Surface,Open Pit,22,50,Estimate,266,Estimate,Subbituminous,Thermal,2018,2025,,Unknown,,,North Bengkulu,Bengkulu,South-eastern Asia,Asia,"-3,308563","101,960219",Exact,,,,,,,,,N,N,N
M1485,,Indonesia,Cipta Buana Seraya Coal Mine,,,Cipta Buana Seraya,,Cipta Buana Seraya,Indonesia,,"0,36",,Surface,Open Pit,"26,49",50,Estimate,280,Estimate,Subbituminous,Thermal,2009,2019,,Unknown,,"Lubuk Unen and Pagar Jati villages, Taba Penanjung District",North Bengkulu,Bengkulu,South-eastern Asia,Asia,"-3,75918","102,509461",Approximate,Terminal (Export),Pulau Baai Coal Terminal,https://www.gem.wiki/Pulau_Baai_Coal_Terminal,,,,,,N,N,N
M4481,,Indonesia,Citra Bara Prima Coal Mine,,,PT Citra Bara Prima,,PT Citra Bara Prima,Indonesia,,"0,1",2021,Surface,Open Pit,"1,95",50,Estimate,,Estimate,Subbituminous,Thermal,2011,,,Unknown,,,Tanah Laut,South Kalimantan,South-eastern Asia,Asia,"-3,846812","114,7800878",Approximate,,,,,,,,,N,N,N
M4014,,Indonesia,CSP Coal Mine,PT Citra Segara Pratama Coal Mine,,Citra Segara Pratama,,Citra Segara Pratama,Indonesia,,,,Surface,Open Pit,20,50,Estimate,,Estimate,Subbituminous,Thermal,2009,2016,,Unknown,,,Sarolangun,Jambi,South-eastern Asia,Asia,"-1,741585","102,440796",Approximate,,,,,,,,,N,N,N
M4015,,Indonesia,Danau Mashitam Coal Mine,PT Danau Mas Hitam Coal Mine,,Danau Mas Hitam,,Danau Mas Hitam,Indonesia,,,,Surface,Strip,8,50,Estimate,,Estimate,Subbituminous,Thermal,2011,2018,,Unknown,Bajak I,,Central Bengkulu,Central Bengkulu,South-eastern Asia,Asia,"-3,698278","102,484413",Approximate,,,,,,,,,N,N,N
M6726,,Indonesia,Delta Samudra Mine,,,PT Delta Samudra,,PT SMR Utama,Indonesia,,,,Surface,Open Pit,"93,84",50,Estimate,,,Subbituminous,Thermal,2009,2031,,Unknown,,"Intu Lingua village, Nyuatan district",West Kutai,East Kalimantan,South-eastern Asia,Asia,"-0,2962641","115,2997605",Approximate,,,,,,,,,N,N,N
M0668,,Indonesia,DMC Coal Mine,PT Delma Mining Corporation Coal Mine,,Delma Mining Corporation,,Risjadson Development,Indonesia,4,,,Surface,Open Pit,202,50,Estimate,,Estimate,Subbituminous,Thermal,2012,,,Unknown,Tarakan,,Bulungan,North Kalimantan,South-eastern Asia,Asia,"2,881242","116,982546",Approximate,Terminal (Export),,Half of the coal was exported to India.,,,,,,N,N,N
M4024,,Indonesia,DPM Coal Mine,,,Dharma Puspita Mining,,Dharma Puspita Mining,Indonesia,,,,Surface,,"0,49",60,Estimate,,,Bituminous,,,,,,,,,,South-eastern Asia,Asia,"-0,41316","116,664727",Approximate,,,,,,,,,N,N,N
M1487,,Indonesia,DTR Coal Mine,,,Duta Tambang Rekayasa,,Medco Energi International,Indonesia,,"0,09",2023,Surface,,,50,Estimate,257,Estimate,Subbituminous,Thermal,2010,2023,,,,,Nunukan,North Kalimantan,South-eastern Asia,Asia,"4,13045","117,192819",Exact,,,,,,,,,N,N,N
M0707,,Indonesia,Embalut Coal Mine,,,PT Kitadin,,Banpu,Thailand,,"0,2",2022,Surface,Open Pit,"1,04",50,Estimate,219,Estimate,Subbituminous,Thermal,2009,2022,,,Embalut,,Kutai Kartanegara,East Kalimantan,South-eastern Asia,Asia,"-0,32129","117,118326",Exact,,,,,,,,,N,N,N
M4040,,Indonesia,ESE Coal Mine,Ena Sarana Energi Coal Mine,,Ena Sarana Energi,,Ena Sarana Energi,Indonesia,,"0,02",2020,Surface,Open Pit,"24,64",50,Estimate,214,Estimate,Subbituminous,Thermal,2012,2020,,Unknown,,,North Penajam Paser,East Kalimantan,South-eastern Asia,Asia,"1,098196","116,164482",Approximate,,,,,,,,,N,N,N
M4041,,Indonesia,FBS Coal Mine,Fajar Bumi Sakti Coal Mine,,Fajar Bumi Sakti,,Bumi Resources,Indonesia,,,,Underground & Surface,Mixed,,60,Estimate,,Estimate,Subbituminous,Thermal,1982,,,Unknown,,Loa Ulung,Kutai Kartanegara,East Kalimantan,South-eastern Asia,Asia,"-0,267421","117,120613",Approximate,,,,,,,,,N,N,N
M4051,,Indonesia,Gunung Limo Coal Mine,,,Gunung Limo,,Gunung Limo,Indonesia,,"0,04",2020,Surface,Open Pit,"1,96",50,Estimate,209,Estimate,Subbituminous,Thermal,2012,2022,,Unknown,,,Banjar,South Kalimantan,South-eastern Asia,Asia,"-3,199378","115,653403",Approximate,,,,,,,,,N,N,N
M4063,,Indonesia,Indra Berjaya Coal Mine,,,Indra Berjaya,,Indra Berjaya,Indonesia,25,"0,03",2020,Surface,Open Pit,1,50,Estimate,2547,Estimate,Subbituminous,Thermal,2015,2020,,Unknown,,,Kutai Kartanegara,East Kalimantan,South-eastern Asia,Asia,"0,301823","116,387146",Approximate,,,,,,,,,N,N,N
M4068,,Indonesia,Jamrud Prima Citra Coal Mine,,,CV Jamrud Prima Citra,,Jamrud Prima Citra,Indonesia,,,,Surface,Open Pit,"0,34",50,Estimate,,Estimate,Subbituminous,Thermal,2014,2019,,Unknown,Sungai Danau,Satui,Tanah Bumbu,South Kalimantan,South-eastern Asia,Asia,"-3,501802","115,589285",Approximate,,,,,,,,,N,N,N
M4069,,Indonesia,JAR Coal Mine,Jasa Andhika Raya Coal Mine,,Jasa Andhika Raya,,Jasa Andhika Raya,Indonesia,,"0,04",2020,Surface,Open Pit,"0,42",50,Estimate,207,Estimate,Subbituminous,Thermal,2018,2023,,Unknown,,,Kutai Kartanegara,East Kalimantan,South-eastern Asia,Asia,"0,62584","117,064972",Approximate,,,,,,,,,N,N,N
M4072,,Indonesia,Jongkang II Coal Mine,,,Wijaya Mulia,,JATEnergy,Australia,,,,Surface,Open Pit,,50,Estimate,,Estimate,Subbituminous,Thermal,2011,,,Unknown,,Loa Kulu,Kutai Kartanegara,East Kalimantan,South-eastern Asia,Asia,"0,097709","116,384259",Approximate,,,,,,,,,N,N,N
M4076,,Indonesia,Kamalindo Sompurna Coal Mine,,,Kamalindo Sompurna,,Kamalindo Sompurna,Indonesia,,"0,77",2020,Surface,Open Pit,"6,17",50,Estimate,243,Estimate,Subbituminous,Thermal,2014,2024,,Unknown,,,Sarolangun,Jambi,South-eastern Asia,Asia,"-2,34517","102,73544",Exact,,,,,,,,,N,N,N
M4078,,Indonesia,Karya Murni Coal Mine,,,Karya Murni,,Karya Murni,Indonesia,,"1,34",2020,Surface,Open Pit,1,50,Estimate,376,Estimate,Subbituminous,Thermal,2017,2024,,Unknown,,,South Hulu Sungai,South Kalimantan,South-eastern Asia,Asia,"-2,867529","115,271651",Exact,Export / Domestic,,,,,,,,N,N,N
M4081,,Indonesia,KBM Coal Mine,Keritang Buana Mining Coal Mine,,Keritang Buana Mining,,Keritang Buana Mining,Indonesia,,"0,34",2020,Surface,Open Pit,"9,65",50,Estimate,264,Estimate,Subbituminous,Thermal,2010,2023,,Unknown,,,Indragiri Hilir,Riau,South-eastern Asia,Asia,"-0,961959","102,712433",Exact,,,,,,,,,N,N,N
M4493,,Indonesia,KEP Coal Mine,Kalbara Energi Pratama Coal Mine,,PT Kalbara Energi Pratama,,PT Atlas Resources,Indonesia,"0,6",,,Surface,Open Pit,50,50,Estimate,,Estimate,Subbituminous,Thermal,,,,Unknown,,Gunung Sari village,Berau,East Kalimantan,South-eastern Asia,Asia,"0,5760994965","116,0146048",Approximate,,,,,,,,,N,N,N
M4088,,Indonesia,KH Coal Mine,Karya Harapan Coal Mine,,Karya Harapan,,Karya Harapan,Indonesia,,"0,03",2020,Surface,Open Pit,"0,86",50,Estimate,210,Estimate,Subbituminous,Thermal,2016,2023,,Unknown,,,Kutai Kartanegara,East Kalimantan,South-eastern Asia,Asia,"-1,093275","117,016143",Exact,,,,,,,,,N,N,N
M0677,,Indonesia,Kintap Coal Mine,,,PT Arutmin Indonesia,,Bumi Resources,Indonesia,"0,5","8,4",2023,Surface,Open Pit,,50,Estimate,2222,Estimate,Subbituminous,Thermal,2011,2025,,Unknown,Barito,"Mekar Sari, Kintap",Tanah Bumbu,South Kalimantan,South-eastern Asia,Asia,"-3,86281","115,186712",Exact,Terminal (Export),North Pulau Laut Coal Terminal,https://www.gem.wiki/North_Pulau_Laut_Coal_Terminal,,,,,,N,N,N
M0455,,Germany,Jänschwalde Coal Mine,,,Lausitz Energie Bergbau AG,,Energetický a průmyslový holding AS [50.0%]; PPF Investments Ltd [50.0%],Czech Republic,,"11,1",2022,Surface,Open Pit,80,95,Exact,500,Exact,Lignite,Thermal,1974,2023,End of mine life,Rehabilitation,,Bradenburg,,Lusatia,Western Europe,Europe,"51,791944","14,539722",Exact,Coal Plant,Janschwalde power plant,https://www.gem.wiki/Janschwalde_power_station,,,,,,N,N,N
M4090,,Indonesia,KJ Coal Mine,Karya Jaya Coal Mine,,Karya Jaya,,Karya Jaya,Indonesia,,"0,13",2020,Surface,Open Pit,1,50,Estimate,208,Estimate,Subbituminous,Thermal,,2023,,Unknown,,,Paser,East Kalimantan,South-eastern Asia,Asia,"-0,796303","117,071573",Exact,,,,,,,,,N,N,N
M3252,,Indonesia,KPUC Coal Mine,Kayan Putra Utama Coal Mine,,Kayan Putra Utama Coal,,Kayan Putra Utama Coal,Indonesia,,"1,05",2020,Surface,Open Pit,"23,15",50,Estimate,248,Estimate,Subbituminous,Thermal,2010,2024,,Unknown,,Separi,Kutai Kartanegara,East Kalimantan,South-eastern Asia,Asia,"-0,292322","117,079914",Exact,,,,,,,,,N,N,N
M4097,,Indonesia,KTS Coal Mine,,,Kemuning Tambang Sentosa,,Kemuning Tambang Sentosa,Indonesia,,,,Surface,,,50,Estimate,,,Subbituminous,,,,,,,,,,South-eastern Asia,Asia,"0,167703","101,511916",Approximate,,,,,,,,,N,N,N
M6733,,Indonesia,Mahakam Bara Energi Mine,,,PT Mahakam Bara Energi,,PT Bayan Resources,Indonesia,,,,Surface,Open Pit,50,50,Estimate,,,Subbituminous,Thermal,,,,Unknown,,"Mamahak village, Long Bagun",West Kutai,East Kalimantan,South-eastern Asia,Asia,"-0,4705485","115,5447586",Approximate,,,,,,,,,N,N,N
M6734,,Indonesia,Mahakam Energi Lestari Mine,,,PT Mahakam Energi Lestari,,PT Bayan Resources,Indonesia,,,,Surface,Open Pit,50,50,Estimate,,,Subbituminous,Thermal,,,,Unknown,,"Mamahak village, Long Bagun",West Kutai,East Kalimantan,South-eastern Asia,Asia,"-0,4499498","115,8770951",Approximate,,,,,,,,,N,N,N
M4107,,Indonesia,Makmur Bersama Coal Mine,,,Makmur Bersama,,Makmur Bersama,Indonesia,,"0,18",2020,Surface,Open Pit,"1,92",50,Estimate,212,Estimate,Subbituminous,Thermal,2014,2020,,Unknown,,,Banjar,South Kalimantan,South-eastern Asia,Asia,"-3,199905","115,088744",Exact,,,,,,,,,N,N,N
M4110,,Indonesia,Mandiri Makmur Citra Tambang Coal Mine,,,Mandiri Makmur Citra Tambang,,Mandiri Makmur Citra Tambang,Indonesia,,"0,06",2020,Surface,Open Pit,"1,9",50,Estimate,207,Estimate,Subbituminous,Thermal,2017,2022,,Unknown,,,Tanah Bumbu,South Kalimantan,South-eastern Asia,Asia,"-3,723726","115,451636",Exact,Export / Domestic,,,,,,,,N,N,N
M4115,,Indonesia,MCM Coal Mine,Mamahak Coal Mining,,Mamahak Coal Mining,,PT Bayan Resources Tbk,Indonesia,,"0,6",,Surface,Open Pit,"49,96",60,Estimate,,Estimate,Bituminous,Met,2009,2025,,Unknown,,,West Kutai,East Kalimantan,South-eastern Asia,Asia,"0,511002","115,433961",Exact,,,,,,,,,N,N,N
