GEM Mine ID,MSHA ID,Country / Area,Mine Name,Mine Name AKAs,Mine Name (Non-ENG),Owners,Owners (Non-ENG),Parent Company,Company HQs,Capacity (Mtpa),Production (Mtpa),Year of Production,Mine Type,Mining Method,"Mine Size
(Km2)","Mine Depth
(m)",Depth Accuracy,Workforce Size,Workforce Accuracy,Coal Type,Coal Grade,Opening Year,Closing Year,Reason for Closure,Mine Site Status,Coalfield,Location,"Prefecture, District","State, Province",Subregion,Region,Latitude,Longitude,Location Accuracy,"Primary Consumer, Destination","Primary Consumer, Destination Name","Primary Consumer, Destination GEM Wiki",Reported Coal Mine Methane Emissions (thousand tonnes CH4),Reported Coal Mine Methane Emissions (thousand tonnes CO2 equivalent),Year of Reported Coal Mine Methane Emissions,Reference Type,Source ID,Has mine boundary and methane emissions sources data,Has associated plume data,Has associated CMM mitigation data
M5580,,Australia,Leigh Creek Coal Mine,Flinders Operations,,Alinta Energy,,,,"2,4",,,Surface,Open Pit,70,150,Exact,200,Exact,Subbituminous,Thermal,1943,2015,Closure of power plant,Rehabilitation,Leigh Creek,Leigh Creek,,South Australia,Australia and New Zealand,Oceania,"-30,482823","138,414574",Exact,Coal Plant,Port Augusta Power Station,https://www.gem.wiki/Northern_Augusta_power_station,,,,,,N,N,N
M0061,,Australia,Liddell Coal Mine,,,Glencore Australia [67.5%]; Mitsui Matsushima Australia [32.5%],,,,8,"4,98",2022,Surface,Open Pit,"24,83",60,Estimate,395,Exact,Bituminous,Thermal & Met,1923,2023,,Rehabilitation,Hunter,Ravensworth,,New South Wales,Australia and New Zealand,Oceania,"-32,40838","151,031944",Exact,Terminal (Export),Port of Newcastle,https://www.gem.wiki/Port_of_Newcastle,,,,,,N,N,N
M2357,,Australia,Mannering Colliery,,,Delta Coal Pty Ltd,,Delta Coal,Australia,"1,1",,,Underground,Bord and Pillar,,500,Estimate,356,Estimate,Subbituminous,Thermal,1961,2020,,Unknown,,Mannering Park,,New South Wales,Australia and New Zealand,Oceania,"-33,177227","151,542804",Exact,Coal Plant,Vales Point Power Station,https://www.gem.wiki/Vales_Point_Power_Station,,,,,,N,N,N
M5614,,Hungary,Sajókápolna Lignite Mine,,Sajókápolna szénkülfejtés,Szuha 2000 Ltd.,,,,,"0,025",2018,Surface,Open Pit,"0,16",50,Estimate,10,Exact,Lignite,Thermal,2014,2019,Other,Unknown,,Sajókápolna,,Borsod-Abaúj-Zemplén,Eastern Europe,Europe,"48,192501","20,677568",Approximate,,,,,,,,,N,N,N
M0070,,Australia,Minerva Coal Mine,,,Sojitz Blue Pty Ltd,,Sojitz Corporation [96%]; KORES [4%],,,"0,468",2021,Surface,Open Pit,"2,95",60,Estimate,200,Exact,Bituminous,Thermal,2005,2021,Reserve exhausted,Rehabilitation,Bowen Basin,Emerald,,Queensland,Australia and New Zealand,Oceania,"-23,921376","148,047135",Exact,Terminal (Export),RG Tanna Coal Terminal at the Port of Gladstone,https://www.gem.wiki/RG_Tanna_Coal_Terminal,,,,,,N,N,N
M6646,,Australia,Muswellbrook No. 1 Coal Mine,Muswellbrook Coal Mine,,Idemitsu Australia,,,,,"1,13",2022,Surface,Open Pit,"0,14",50,Estimate,,,Subbituminous,Thermal,2005,2023,Reserve exhausted,Rehabilitation,,Muswellbrook,Hunter Valley,New South Wales,Australia and New Zealand,Oceania,"-32,244988","150,941392",Exact,Terminal (Export),Port of Newcastle,https://www.gem.wiki/Port_of_Newcastle,,,,,,N,N,N
M0079,,Australia,Muswellbrook No. 2 Coal Mine,Muswellbrook Coal Mine,,Idemitsu Australia,,Idemitsu Kosan,"Japan, Australia",,"0,94",2022,Surface,Open Pit,"1,56",50,Estimate,150,Exact,Subbituminous,Thermal,1944,2022,Reserve exhausted,Rehabilitation,,Muswellbrook,Hunter Valley,New South Wales,Australia and New Zealand,Oceania,"-32,244988","150,941392",Exact,Terminal (Export),Port of Newcastle,https://www.gem.wiki/Port_of_Newcastle,,,,,,N,N,N
M0083,,Australia,Newlands Coal Mine,,,Newlands Coal Pty Ltd,,Glencore,Switzerland,,"6,464",2023,Surface,Open Pit,"326,33",60,Estimate,610,Exact,Bituminous,Thermal & Met,1981,2023,End of mine life,Rehabilitation,Bowen Basin,Glenden,,Queensland,Australia and New Zealand,Oceania,"-21,201424","147,887969",Exact,Terminal (Export),Abbott Point Coal Terminal,https://www.gem.wiki/North_Queensland_Export_Terminal,"1,5",121,2024-25,national government data,,N,N,N
M4355,,Australia,Ravensworth East Coal Mine,,,Mt Owen Pty Limited,,Glencore,Switzerland,3,"1,42",2023,Surface,Open Pit,,60,Estimate,,Estimate,Bituminous,Thermal,2000,2023,Reserve exhausted,Unknown,Hunter,Hebden,,New South Wales,Australia and New Zealand,Oceania,"-32,44061413","151,0511266",Exact,,,,,,,,,Y,N,N
M7023,,Australia,Ravensworth Underground Mine,"RUM, Ashton-Ravensworth Underground Mine Integration, The RUM Ashton Coal Project",,Resource Pacific Pty Ltd,,Glencore; Yancoal,"Australia, China","5,25",,,Underground,,,500,Estimate,,,Bituminous,Met,,2022,,Rehabilitation,Hunter,Camberwell,,New South Wales,Australia and New Zealand,Oceania,"-32,46150306","151,0169811",Approximate,,,,,,2021,,,N,N,N
